token,n.x,n.y,freq,interest
hope,76,6937,0.14888309053878304,0.351116909461217
selling,33,1937,0.2138479646089533,0.2861520353910467
provide,46,3032,0.19500150450466397,0.30499849549533603
low,32,716,0.41643121060638993,0.08356878939361007
funds,72,624,0.6481732070365359,0.14817320703653591
send,35,3447,0.13950488870397337,0.3604951112960266
data,30,678,0.41400172860847023,0.08599827139152977
partnership,91,400,0.7841299537678318,0.2841299537678318
subject,32,188,0.7310186951545211,0.23101869515452111
earned,32,40,0.9273959341723136,0.4273959341723136
yahoo.com,74,316,0.7889863330810666,0.2889863330810666
investment,153,801,0.7530750023120318,0.25307500231203184
notice,32,219,0.6999726002374645,0.19997260023746455
million,41,294,0.6900804666362135,0.19008046663621347
awarded,41,23,0.9660583403020316,0.46605834030203164
limited,50,776,0.50709294939657,0.007092949396570014
care,32,1135,0.310421645267123,0.18957835473287699
junjin015,50,21,0.9743694060211554,0.4743694060211554
dollars,41,216,0.7519047436731882,0.25190474367318816
purchase,32,522,0.494643087646831,0.0053569123531689855
website,5,6167,0.012779808436274378,0.48722019156372565
flow,32,634,0.446255968324211,0.053744031675789006
entrepreneurs,44,1259,0.35815518471943714,0.14184481528056286
micromentor,73,1373,0.45914361122418157,0.04085638877581843
profile,124,5729,0.25682979772210357,0.24317020227789643
capital,30,778,0.381066030230708,0.11893396976929199
recommendations,30,188,0.7181409295352323,0.21814092953523234
choosing,32,109,0.8241746424346704,0.3241746424346704
tools,12,525,0.2673737091822495,0.2326262908177505
usa,127,466,0.8131340809752317,0.31313408097523165
lewis,18,21,0.9319066147859922,0.43190661478599224
partners,13,449,0.3161395136315175,0.1838604863684825
independently,50,26,0.9684593610998787,0.46845936109987873
calculated,50,68,0.9215082724124662,0.42150827241246624
"2,500",32,12,0.9770525242223355,0.47705252422233546
grant,129,242,0.8948603206325759,0.3948603206325759
resources,12,818,0.1897781299524564,0.3102218700475436
mix,12,134,0.5884520884520885,0.08845208845208852
genuine,30,88,0.8447971781305114,0.34479717813051136
draw,41,147,0.8166243918666057,0.31662439186660574
prize,41,23,0.9660583403020316,0.46605834030203164
financial,50,1951,0.29037342386032977,0.20962657613967023
mail,7,979,0.10246615530360909,0.3975338446963909
jane,9,15,0.9054820415879018,0.4054820415879018
read,6,2769,0.03344037978218375,0.4665596202178163
kickstart,41,36,0.947873932139582,0.44787393213958204
profit,32,1360,0.2730900798175599,0.2269099201824401
foundation,12,365,0.34423284225655765,0.15576715774344235
message,8,2887,0.04236969549545565,0.45763030450454434
grantstar,127,8,0.9960702765542875,0.4960702765542875
earn,32,244,0.6767926527728717,0.1767926527728717
america,41,221,0.7476112528074919,0.24761125280749186
exchange,32,332,0.6061372983233154,0.10613729832331542
details,73,1359,0.461689794948308,0.038310205051692026
deal,50,758,0.5129578068108803,0.012957806810880323
trust,121,560,0.7752778929627202,0.2752778929627202
gmail,50,218,0.7855034437520497,0.2855034437520497
opportunities,32,857,0.3735074808713875,0.12649251912861248
drive,12,554,0.25697424892703863,0.24302575107296137
user,44,443,0.613280568003259,0.11328056800325903
yearly,41,36,0.947873932139582,0.44787393213958204
18,32,329,0.6083022462100166,0.1083022462100166
dan,6,147,0.3945634266886326,0.10543657331136741
